"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Samsung Electronics Co Ltd","4.07","EQUITY","005930","Large Core","2016-04-30","22941","534","Technology","45799418","2408000","20000|0.84%","2412000-2346000","127896","2566000-1456000","South Korea","7.35","61.21","22.08","15.12","367898944","KRW","3","33.3","13.62","-","-","-"
"Tencent Holdings Ltd","4.05","EQUITY","00700","Large Growth","2013-03-31","1326300","31200","Technology","45581443","311.2","6.4|2.1%","311.2-305.4","5747420","311.2-179.6","China","25.48","61.59","33.43","46.27","2888615","HKD","3","61","54.01","-","-","-"
"Taiwan Semiconductor Manufacturing Co Ltd","3.45","EQUITY","2330","Large Core","2011-10-31","5745000","134000","Technology","38864293","214","1|0.47%","214.5-211.5","5197","218.5-171.5","Taiwan","13.11","24.65","23.79","24.43","5523171","TWD","2","21.21","15.58","-","-","-"
"Alibaba Group Holding Ltd ADR","2.85","EQUITY","BABA","-","2016-05-31","261903","6153","Consumer Cyclical","32072641","157.56","3.41|2.21%","158.96-152.82","14442501","160.39-81.94","China","36.42","89.56","-","-","398526.62","USD","3","79.43","62.59","-","-","-"
"Mini Msci Emg Mkt Jun17 Mesm7","2.46","EQUITY INDEX - FUTURE","-","-","-","552","98","-","27704880","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","-","-"
"Naspers Ltd Class N","1.88","EQUITY","NPN","Large Growth","2011-10-31","102221","2356","Technology","21182238","285023","-1242|-0.43%","285445-280595","715535","293997-192598","South Africa","12.28","27.47","29.85","44.55","1240287.5","ZAC","-","41.51","32.92","-","-","-"
"China Construction Bank Corp H","1.44","EQUITY","00939","Large Value","2011-10-31","19622000","458000","Financial Services","16216217","6.5","0.03|0.46%","6.53-6.48","37158876","6.71-5.18","China","7.43","28.83","8.3","10.7","1631191","HKD","3","13.73","6.02","-","-","-"
"China Mobile Ltd","1.41","EQUITY","00941","Large Value","2011-10-31","1433500","34000","Communication Services","15903148","83.55","0.1|0.12%","83.7-83.2","2151596","99.3-80","China","2.1","-11.41","3.24","2.49","1708679","HKD","4","3.03","13.59","-","-","-"
"Hon Hai Precision Industry Co Ltd","1.1","EQUITY","2317","Large Value","2011-10-31","3638087","84000","Technology","12431715","117","-0.5|-0.43%","117.5-116.5","8273","122.5-76.3","Taiwan","23.48","54.87","16.9","19.79","2036126.75","TWD","-","44.89","13.76","-","-","-"
"Baidu Inc ADR","1.05","EQUITY","BIDU","-","2016-05-31","63491","1511","Technology","11815675","220","19|9.45%","225.6-208.8","12591474","225.6-156.23","China","22.07","32.83","-0.86","12.2","76312.23","USD","3","33.81","41.37","-","-","-"
"Industrial And Commercial Bank Of China Ltd H","1.02","EQUITY","01398","Large Value","2011-10-31","17187000","395000","Financial Services","11491010","5.47","0.05|0.92%","5.5-5.42","71091908","5.5-4.37","China","11.96","28.39","5.99","10.29","2204008.75","HKD","3","22.31","6.09","-","-","-"
"Bank Of China Ltd H","0.82","EQUITY","03988","Large Value","2011-10-31","18516000","430000","Financial Services","9266851","3.85","0.06|1.58%","3.85-3.8","80763663","4.08-3.18","China","5.63","23.67","6.19","10.98","1264351.38","HKD","3","15.76","6.07","-","-","-"
"Housing Development Finance Corp Ltd","0.76","EQUITY","HDFC","Large Growth","2012-05-31","351130","7975","Financial Services","8544744","1785.35","57.15|3.31%","1799.2-1709.1","7936274","1799.2-1183.15","India","17.12","28.61","19.84","22.54","2841414.75","INR","-","42.83","26.32","-","-","-"
"Itau Unibanco Holding SA","0.74","EQUITY","ITUB4","Large Value","2015-05-31","753921","18000","Financial Services","8282542","37.1","0.14|0.38%","37.23-36.63","7239000","42-30.28","Brazil","-5.39","28.91","12.03","14.17","241621.17","BRL","-","12.2","10.33","-","-","-"
"Ping An Insurance (Group) Co. of China Ltd H","0.69","EQUITY","02318","Large Core","2011-10-31","1218000","32000","Financial Services","7807342","57.4","0.2|0.35%","57.6-57.1","4454369","59.6-36","China","32.04","57.36","21.93","14.78","1077227.12","HKD","3","49.05","13.67","-","-","-"
"SK Hynix Inc","0.62","EQUITY","000660","Large Value","2016-05-31","136030","3279","Technology","6925955","65900","1300|2.01%","66000-63700","2759678","73000-32900","South Korea","19.63","94.34","12.34","25.56","45607716","KRW","-","44.52","11.12","-","-","-"
"Infosys Ltd","0.58","EQUITY","INFY","Large Core","2012-05-31","429112","9529","Technology","6499208","997.35","26.3|2.71%","1003-962.3","5549214","1095-901","India","10.14","-5.05","8.27","15.33","2280765.75","INR","4","0.15","16.31","-","-","-"
"Samsung Electronics Co Ltd Participating Preferred","0.57","EQUITY","005935","Large Core","2016-04-30","4109","107","Technology","6419424","1932000","12000|0.62%","1940000-1868000","14675","2056000-1171000","South Korea","9.93","59.22","22.71","22.11","367898944","KRW","-","34.96","10.95","-","-","-"
"Ambev SA","0.57","EQUITY","ABEV3","Large Core","2011-10-31","1101200","27000","Consumer Defensive","6367049","19.1","-0.01|-0.05%","19.22-18.92","10988300","20.09-15.79","Brazil","5.48","1.39","8.9","11.26","300007.06","BRL","3","17.87","25.47","-","-","-"
"JD.com Inc ADR","0.56","EQUITY","JD","-","2016-05-31","157841","3657","Technology","6318375","45.22","0.06|0.13%","45.96-44.2","8919292","46.85-21.22","China","28.94","104.25","15.31","-","64586.1","USD","2","77.75","-","-","-","-"
"Reliance Industries Ltd","0.56","EQUITY","RELIANCE","Large Core","2012-05-31","302815","6947","Energy","6293351","1594.45","-0.35|-0.02%","1605.95-1578","3276023","1631.5-930","India","15.07","56.42","17.37","17.93","5184082","INR","-","48.32","14.79","-","-","-"
"America Movil SAB de CV Class L","0.55","EQUITY","AMX L","Large Growth","2011-10-31","7761700","206500","Communication Services","6231505","15.89","0.29|1.86%","15.95-15.51","34106079","15.95-10.4","Mexico","10.85","46.43","2.8","-0.63","1048831.12","MXN","-","23.1","22.7","-","-","-"
"Bank Bradesco SA Pref Shs","0.54","EQUITY","BBDC4","Large Value","2015-05-31","719094","21800","Financial Services","6115505","29.75","0.04|0.13%","29.81-29.45","5338000","32.18-24.02","Brazil","-1.24","23.92","11.02","11.85","181030.94","BRL","-","14.04","10.66","-","-","-"
"China Life Insurance Co Ltd H Shares","0.51","EQUITY","02628","Large Core","2011-10-31","1737000","42000","Financial Services","5689233","24.7","-","24.8-24.55","8509164","26.2-17.24","China","5.59","38.89","5.38","4.64","857366.44","HKD","3","23.62","30.96","-","-","-"
"NetEase Inc ADR","0.47","EQUITY","NTES","-","2016-05-31","18573","445","Technology","5289219","313.79","3.65|1.18%","316.25-306.5","768446","337.55-197","China","18.64","54.07","55.24","43.4","41187.82","USD","3","46.69","21.42","-","-","-"
"Hyundai Motor Co","0.46","EQUITY","005380","Large Value","2016-04-30","35626","1089","Consumer Cyclical","5187102","145500","-4000|-2.68%","149500-144500","439608","173000-129000","South Korea","4.51","12.87","-10.73","-6.26","43145492","KRW","3","3.08","6.65","-","-","-"
"NAVER Corp","0.44","EQUITY","035420","Large Growth","2016-05-31","6554","167","Technology","4946901","806000","7000|0.88%","808000-786000","37015","975000-678000","South Korea","-0.12","12.69","1.63","13.38","23017122","KRW","3","3.1","33.3","-","-","-"
"China Petroleum & Chemical Corp H Shares","0.43","EQUITY","00386","Large Value","2011-10-31","5969000","148000","Energy","4889543","6","0.07|1.18%","6.01-5.91","10373801","6.57-5.18","China","-2.78","9.65","-4.1","6.75","827719.94","HKD","3","11.36","10.73","-","-","-"
"Ctrip.com International Ltd ADR","0.42","EQUITY","CTRP","-","2016-05-31","87267","2085","Consumer Cyclical","4769142","59.71","0.86|1.46%","60.22-57.8","3183279","60.65-39.71","China","18.21","36.36","21.41","54.76","30645.76","USD","3","49.28","653.18","-","-","-"
"Sberbank of Russia PJSC ADR","0.42","EQUITY","SBER","Large Core","2011-10-31","426892","0","Financial Services","4759846","11.77","-0.03|-0.25%","11.83-11.69","9618386","12.65-8.34","Russia","2.34","42.48","13.9","4.27","59861.69","USD","-","5.12","6.99","-","-","-"
"CNOOC Ltd","0.42","EQUITY","00883","Large Core","2011-10-31","4170000","112000","Energy","4734456","8.75","0.03|0.34%","8.8-8.7","9221718","10.88-8.45","China","-1.32","-5.13","-10.15","-6.01","389325.81","HKD","3","-7.73","754.24","-","-","-"
"KB Financial Group Inc","0.4","EQUITY","105560","Large Value","2016-05-31","93059","2489","Financial Services","4448548","58600","-","59000-57900","316915","60500-34800","South Korea","16.97","67.18","16.87","12.69","23238722","KRW","-","36.92","9.26","-","-","-"
"Shinhan Financial Group Co Ltd","0.39","EQUITY","055550","Large Value","2016-05-31","100021","2707","Financial Services","4411219","52600","-200|-0.38%","52800-51800","219224","53500-39150","South Korea","11.04","34.95","4.87","10.69","25037738","KRW","-","16.69","8.45","-","-","-"
"POSCO","0.39","EQUITY","005490","Large Value","2016-05-31","17332","402","Basic Materials","4372929","333500","6000|1.83%","335000-324500","112387","335000-208000","South Korea","22.43","46.83","1.62","0.47","26199246","KRW","2","27.77","14.45","-","-","-"
"Tata Consultancy Services Ltd","0.39","EQUITY","TCS","Large Growth","2012-05-31","110369","2358","Technology","4356932","2484.3","2.6|0.1%","2493.05-2442","691376","2744.8-2051.9","India","10.81","-3.34","0.34","17.22","4752697.5","INR","3","6.75","18.86","-","-","-"
"Fomento Economico Mexicano SAB de CV Units (1 Series B, 4 Series D)","0.36","EQUITY","FEMSA UBD","-","2011-10-31","431600","13600","Consumer Defensive","4066243","180.03","0.63|0.35%","180.5-177.81","1829966","184.1-28.35","Mexico","7.03","7.31","14.38","9.96","3220940.5","MXN","-","15","168.01","-","-","-"
