"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Tesla Inc","0.95","EQUITY","TSLA","Large Growth","2010-06-30","538708","1740","Consumer Cyclical","183704815","328.4","-1.52|-0.46%","331.26-325.8","4881005","386.99-178.19","United States","9.06","44.47","14.46","59.67","54192.57","USD","2","54.39","-","-","-","-"
"Las Vegas Sands Corp","0.49","EQUITY","LVS","Large Value","2005-02-28","1589710","6894","Consumer Cyclical","93999552","62.36","0.2|0.32%","62.77-62.25","1761001","66.22-46.47","United States","8.86","38.54","-1.27","13.21","49247.38","USD","3","19.12","27.03","-","-","-"
"T-Mobile US Inc","0.43","EQUITY","TMUS","Large Growth","2013-05-31","1241183","0","Communication Services","83680558","62.58","1.46|2.39%","62.73-61.08","6967990","68.88-43.96","United States","-5.69","37.22","23.79","43.24","50780.69","USD","3","6.28","31.67","-","-","-"
"Liberty Global PLC C","0.42","EQUITY","LBTYK","Large Growth","2014-03-31","2738294","13490","Communication Services","81382098","31.86","-0.06|-0.19%","31.98-31.65","2106434","37-27.36","United Kingdom","-6.06","6.05","-3.13","9.79","27663.92","USD","-","7.47","14.39","-","-","-"
"ServiceNow Inc","0.39","EQUITY","NOW","Mid Growth","2012-07-31","712893","2674","Technology","74604252","108.19","-1.65|-1.5%","109.93-107.58","2151627","113.01-70.61","United States","24.45","51.19","24.06","34.2","18659.58","USD","3","47.75","-","-","-","-"
"SBA Communications Corp","0.38","EQUITY","SBAC","Mid Growth","2000-02-29","528917","2342","Communication Services","73085751","136.6","0.79|0.58%","137.23-135.37","993179","140.38-95.66","United States","9.28","20.59","9.31","19.26","16473.91","USD","2","31.52","277.16","-","-","-"
"MGM Resorts International","0.34","EQUITY","MGM","Mid Core","1999-02-28","2084308","4950","Consumer Cyclical","66114250","34.03","0.3|0.89%","34.21-33.77","18635023","34.34-22.87","United States","18.9","44.47","9.98","28.26","19385.96","USD","3","17.76","15.62","-","-","-"
"Biomarin Pharmaceutical Inc","0.34","EQUITY","BMRN","Mid Growth","2002-02-28","749278","0","Healthcare","65666724","89.28","1.54|1.76%","89.54-87.52","1137963","102.49-78.42","United States","-2.76","-6.42","14.1","16.87","15309.75","USD","4","5.92","-","-","-","-"
"IHS Markit Ltd A","0.33","EQUITY","INFO","Mid Growth","2016-07-31","1380087","-85972","Industrials","63276989","45.65","0.36|0.79%","45.88-45.23","1822297","47.92-32.9","United States","4.35","27.01","6.49","8.92","18079.64","USD","3","27.9","94.35","-","-","-"
"First Republic Bank","0.32","EQUITY","FRC","Mid Growth","2010-12-31","659858","0","Financial Services","60772922","99.82","-0.55|-0.55%","100.76-99.66","433501","104.17-70","United States","11.09","42.89","29.26","25.73","15782.25","USD","3","9.29","25.03","-","-","-"
