"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Nestle SA","2.7","EQUITY","NESN","Large Core","1993-10-31","6904494","653210","Consumer Defensive","602193931","82.25","0.55|0.67%","82.35-81.4","2223969","86-71.45","Switzerland","6.59","8.81","8.63","9.21","253103.33","CHF","2","14.99","29.71","-","-","-"
"Novartis AG","1.96","EQUITY","NOVN","Large Core","2003-03-31","5237595","449998","Healthcare","437478542","82.6","0.95|1.16%","82.7-81.75","1353373","84.35-67.4","Switzerland","6.66","5.11","4.15","10.69","191297.78","CHF","4","13.9","31.32","-","-","-"
"HSBC Holdings PLC","1.86","EQUITY","HSBA","Large Value","1999-09-30","44678486","4034767","Financial Services","414706285","757.9","14.3|1.92%","772-754.6","11873838","772-482.05","United Kingdom","18.06","59.67","10.51","11.64","150144.64","GBX","2","16.93","325.03","-","-","-"
"Roche Holding AG Dividend Right Cert.","1.81","EQUITY","ROG","Large Core","2003-03-31","1582811","146617","Healthcare","404431830","245.5","3|1.24%","246.1-242","712976","273-218.3","Switzerland","-6.84","2.12","0.16","10.79","207660.67","CHF","5","7.78","21.54","-","-","-"
"British American Tobacco PLC","1.26","EQUITY","BATS","Large Growth","1993-08-31","4126027","348435","Consumer Defensive","281160961","4759.5","-200.5|-4.04%","4975-4736","4130073","5643.6-2879.89","United Kingdom","-4.89","7.25","15.26","11.21","113757.89","GBX","2","9.88","21.83","-","-","-"
"Royal Dutch Shell PLC Class A","1.19","EQUITY","RDSA","Large Value","2005-09-30","9976819","995719","Energy","265102810","2140.5","25|1.18%","2143-2121","2661934","2295.5-1791","United Kingdom","7.5","14.07","1.44","5.06","175257.17","GBX","-","-2.28","28.31","-","-","-"
"BP PLC","1.11","EQUITY","BP.","Large Value","2007-09-30","42906450","4227539","Energy","247664736","448.1","4.45|1%","449.05-444.65","5965638","521.2-408.63","United Kingdom","2.01","11.35","2.03","5.55","87241.68","GBX","3","-9.82","52.22","-","-","-"
"Total SA","1.1","EQUITY","FP","Large Value","2002-09-30","4914994","465268","Energy","244015296","43.29","0.31|0.71%","43.36-43.01","1526644","49.5-40.53","France","-7.55","6.96","-0.95","8.06","105039.61","EUR","3","-9.24","17.33","-","-","-"
"Bayer AG","1.07","EQUITY","BAYN","Large Core","2009-07-31","1843157","166131","Healthcare","238892422","108.05","0.35|0.32%","108.3-107.5","570036","123.9-86.03","Germany","-5.19","17.06","5.06","13.93","89062.28","EUR","4","11.37","20.48","-","-","-"
"Siemens AG","1.05","EQUITY","SIE","Large Core","1990-09-30","1693007","154059","Industrials","232880302","116.05","0.3|0.26%","116.05-114.6","625962","133.5-95.57","Germany","-12.04","23.41","10.63","14.47","93558.22","EUR","3","2.18","16.51","-","-","-"
"Sanofi SA","1.03","EQUITY","SAN","Large Core","1999-06-30","2397638","132611","Healthcare","229742084","82.66","1.07|1.31%","83.4-82.4","746377","92.97-66.72","France","-2.38","10.83","5.77","8.02","105416.1","EUR","4","9.95","24.06","-","-","-"
"GlaxoSmithKline PLC","1.03","EQUITY","GSK","Large Value","2002-09-30","10761216","807729","Healthcare","229077973","1525","6.5|0.43%","1534-1522.5","2879206","1745.56-1446.5","United Kingdom","-0.81","-5.94","7.93","6.13","74679.83","GBX","4","-0.1","38.54","-","-","-"
"Royal Dutch Shell PLC B","1.01","EQUITY","RDSB","Large Value","2005-09-30","8347462","757509","Energy","224100548","2159.63","28.13|1.32%","2161.5-2126.5","1982499","2403.68-1869.25","United Kingdom","5.66","11.12","0.15","4.47","175257.17","GBX","4","-6.23","28.52","-","-","-"
"SAP SE","0.95","EQUITY","SAP","Large Growth","2004-09-30","2023789","210501","Technology","211833177","90.2","-0.1|-0.11%","90.5-89.77","552422","96.38-75.07","Germany","-0.56","17","16.18","12.87","108235.73","EUR","2","10.55","31.46","-","-","-"
"Banco Santander SA","0.95","EQUITY","SAN","Large Value","1997-12-31","31874855","2694174","Financial Services","211645664","5.83","0.03|0.48%","5.84-5.78","68148979","6.25-3.4","Spain","-1.5","63.13","-3.83","10.66","85991.62","EUR","-","21.13","12.61","-","-","-"
"Allianz SE","0.9","EQUITY","ALV","Large Value","1997-06-30","1010670","87757","Financial Services","199448196","180.45","-0.2|-0.11%","181.1-180.15","289248","184.35-122.65","Germany","7.69","47.7","16.38","21.64","82163.89","EUR","3","19.9","12.69","-","-","-"
"Unilever NV DR","0.86","EQUITY","UNA","Large Growth","2003-05-31","3479838","322740","Consumer Defensive","192093706","49.63","0.19|0.39%","49.72-49.13","1089965","51.31-36.22","Netherlands","3.42","23.17","18.78","14.56","142349.67","EUR","3","28.12","24.35","-","-","-"
"Basf SE","0.85","EQUITY","BAS","Large Value","1990-09-30","2038307","168504","Basic Materials","189173806","81.39","1.75|2.2%","81.39-79.91","1379499","94.32-68.42","Germany","-7.62","17.02","3.24","9.7","73147.64","EUR","3","-6.42","15.32","-","-","-"
"AstraZeneca PLC","0.85","EQUITY","AZN","Large Core","2003-03-31","2820358","264367","Healthcare","188918505","4557","75.5|1.68%","4625.7-4526.5","1867128","5520-3996","United Kingdom","-3.36","-6.5","5.13","12.99","56735.79","GBX","4","4.38","19.27","-","-","-"
"Anheuser-Busch InBev SA/NV","0.84","EQUITY","ABI","Large Growth","2004-12-31","1688956","71707","Consumer Defensive","186543085","102.9","-0.45|-0.44%","103.5-102.7","388434","119.6-92.13","Belgium","1.89","-2.99","11.63","12.38","199827.22","EUR","3","4.77","62.48","-","-","-"
